Date,Open,High,Low,Close,Adj Close,Volume,Open_Direction,High_Direction,Low_Direction,Close_Direction,Adj Close_Direction
2016/12/20,29.18499947,29.375,29.17000008,29.23749924,27.17515755,85700000,up,up,up,up,up
2016/12/21,29.20000076,29.35000038,29.19499969,29.26499939,27.20072174,95132800,up,down,up,up,up
2016/12/22,29.08749962,29.12750053,28.90999985,29.07250023,27.02180481,104343600,down,down,down,down,down
2016/12/23,28.89749908,29.12999916,28.89749908,29.12999916,27.075243,56998000,down,up,down,up,up
2016/12/27,29.12999916,29.45000076,29.12249947,29.31500053,27.24719429,73187600,up,up,up,up,up
2016/12/28,29.37999916,29.50499916,29.04999924,29.19000053,27.13101387,83623600,up,up,down,down,down
2016/12/29,29.11249924,29.27750015,29.10000038,29.18250084,27.1240387,60158000,down,down,up,down,down
2016/12/30,29.16250038,29.29999924,28.85750008,28.95499992,26.9125843,122345200,up,up,down,down,down
2017/1/3,28.95000076,29.08250046,28.69000053,29.03750038,26.98926735,115127600,down,down,down,up,up
2017/1/4,28.96249962,29.12750053,28.9375,29.00499916,26.95905876,84472400,up,up,up,down,down
2017/1/5,28.97999954,29.21500015,28.95249939,29.15250015,27.09615326,88774400,up,up,up,up,up
2017/1/6,29.19499969,29.54000092,29.11750031,29.47750092,27.39823532,127007600,up,up,up,up,up
2017/1/9,29.48749924,29.85750008,29.48500061,29.74749947,27.64918327,134247600,up,up,up,up,up
2017/1/10,29.69249916,29.84499931,29.57500076,29.77750015,27.67706871,97848400,up,down,up,up,up
2017/1/11,29.68499947,29.98250008,29.64999962,29.9375,27.82577705,110354400,down,up,up,up,up
2017/1/12,29.72500038,29.82500076,29.55249977,29.8125,27.70959854,108344800,up,down,down,down,down
2017/1/13,29.77750015,29.90500069,29.70249939,29.76000023,27.66080093,104447600,up,up,up,down,down
2017/1/17,29.58499908,30.05999947,29.55500031,30,27.8838768,137759200,down,up,down,up,up
2017/1/18,30,30.125,29.92749977,29.99749947,27.88154793,94852000,up,up,up,down,down
2017/1/19,29.85000038,30.02249908,29.84250069,29.94499969,27.83275604,102389200,down,down,down,down,down
2017/1/20,30.11249924,30.11249924,29.93250084,30,27.8838768,130391600,up,up,up,up,up
2017/1/23,30,30.20249939,29.94249916,30.02000046,27.90246201,88200800,down,up,up,up,up
2017/1/24,29.88750076,30.02499962,29.875,29.99250031,27.87690163,92844000,down,down,down,down,down
2017/1/25,30.10499954,30.52499962,30.06999969,30.46999931,28.32072449,129510400,up,up,up,up,up
2017/1/26,30.41749954,30.61000061,30.39999962,30.48500061,28.33466148,105350400,up,up,up,up,up
2017/1/27,30.53499985,30.58749962,30.39999962,30.48749924,28.33699036,82251600,up,down,up,up,up
